story_index,doc_key,story_id,model_type,prompt_type,seed,num_story_images,source_file
32,7150,32,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
33,345,33,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
34,11678,34,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
35,721,35,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
36,733,36,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
37,7195,37,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
38,11457,38,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
39,12358,39,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
40,13596,40,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
41,10499,41,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
42,5721,42,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
43,5201,43,claude45,large,42,9,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
44,8085,44,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
45,2702,45,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
46,6878,46,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
47,1201,47,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
48,5265,48,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
49,5540,49,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
50,5349,50,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
51,6215,51,claude45,large,42,7,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
52,3761,52,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
53,8154,53,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
54,12423,54,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
55,4797,55,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
56,4047,56,claude45,large,42,8,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
57,11541,57,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
58,3230,58,claude45,large,42,5,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
59,10486,59,claude45,large,42,6,claude45_large_seed42_test_snapshots__local_json-nopound_pred.jsonlines
60,6847,0,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
61,3230,1,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
62,6921,2,claude45,large,43,7,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
63,1214,3,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
64,4797,4,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
65,13596,5,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
66,5349,6,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
67,9418,7,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
68,12423,8,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
69,11541,9,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
70,1111,10,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
71,723,11,claude45,large,43,9,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
72,5047,12,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
73,4047,13,claude45,large,43,8,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
74,9334,14,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
75,11260,15,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
76,9914,16,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
77,7702,17,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
78,3295,18,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
79,5201,19,claude45,large,43,9,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
80,6111,20,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
81,345,21,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
82,11457,22,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
83,2702,23,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
84,2400,24,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
85,515,25,claude45,large,43,9,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
86,1201,26,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
87,6729,27,claude45,large,43,9,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
88,5062,28,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
89,7596,29,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
90,3891,30,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
91,10408,31,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
92,10499,32,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
93,6878,33,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
94,7195,34,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
95,4173,35,claude45,large,43,8,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
96,3761,36,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
97,11543,37,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
98,13683,38,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
99,8154,39,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
100,12358,40,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
101,7065,41,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
102,8551,42,claude45,large,43,8,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
103,10486,43,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
104,11340,44,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
105,5721,45,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
106,2722,46,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
107,2926,47,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
108,11678,48,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
109,11719,49,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
110,6215,50,claude45,large,43,7,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
111,1467,51,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
112,733,52,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
113,5540,53,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
114,7150,54,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
115,948,55,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
116,721,56,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
117,8061,57,claude45,large,43,8,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
118,8085,58,claude45,large,43,6,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
119,5265,59,claude45,large,43,5,claude45_large_seed43_test_snapshots__local_json-nopound_pred.jsonlines
120,733,0,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
121,2400,1,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
122,5721,2,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
123,9334,3,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
124,4173,4,claude45,large,44,8,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
125,345,5,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
126,5540,6,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
127,9418,7,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
128,7702,8,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
129,6878,9,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
130,2722,10,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
131,5047,11,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
132,8061,12,claude45,large,44,8,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
133,3295,13,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
134,12423,14,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
135,13683,15,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
136,1214,16,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
137,7195,17,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
138,721,18,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
139,11340,19,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
140,6111,20,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
141,11457,21,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
142,4797,22,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
143,6921,23,claude45,large,44,7,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
144,11260,24,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
145,1467,25,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
146,3891,26,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
147,9914,27,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
148,3230,28,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
149,10499,29,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
150,515,30,claude45,large,44,9,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
151,13596,31,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
152,723,32,claude45,large,44,9,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
153,11678,33,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
154,5265,34,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
155,8085,35,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
156,5349,36,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
157,11541,37,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
158,8154,38,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
159,5062,39,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
160,11719,40,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
161,7065,41,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
162,948,42,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
163,1201,43,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
164,8551,44,claude45,large,44,8,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
165,2926,45,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
166,6215,46,claude45,large,44,7,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
167,6847,47,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
168,5201,48,claude45,large,44,9,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
169,7150,49,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
170,10486,50,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
171,7596,51,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
172,6729,52,claude45,large,44,9,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
173,3761,53,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
174,2702,54,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
175,11543,55,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
176,1111,56,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
177,12358,57,claude45,large,44,5,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
178,10408,58,claude45,large,44,6,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
179,4047,59,claude45,large,44,8,claude45_large_seed44_test_snapshots__local_json-nopound_pred.jsonlines
180,5349,0,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
181,6921,1,claude45,original,42,7,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
182,7065,2,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
183,1201,3,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
184,9914,4,claude45,original,42,3,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
185,11678,5,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
186,345,6,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
187,721,7,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
188,7195,8,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
189,2400,9,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
190,3761,10,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
191,5540,11,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
192,3295,12,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
193,1214,13,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
194,723,14,claude45,original,42,7,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
195,5062,15,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
196,6878,16,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
197,6729,17,claude45,original,42,9,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
198,8061,18,claude45,original,42,8,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
199,11719,19,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
200,12358,20,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
201,12423,21,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
202,5047,22,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
203,13683,23,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
204,5201,24,claude45,original,42,9,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
205,3891,25,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
206,8551,26,claude45,original,42,7,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
207,2926,27,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
208,3230,28,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
209,733,29,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
210,4173,30,claude45,original,42,8,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
211,10408,31,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
212,8154,32,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
213,5265,33,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
214,11340,34,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
215,10486,35,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
216,11541,36,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
217,11543,37,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
218,11457,38,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
219,2702,39,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
220,11260,40,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
221,1467,41,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
222,9334,42,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
223,6215,43,claude45,original,42,7,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
224,9418,44,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
225,13596,45,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
226,4047,46,claude45,original,42,8,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
227,6847,47,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
228,5721,48,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
229,1111,49,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
230,7150,50,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
231,6111,51,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
232,515,52,claude45,original,42,9,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
233,4797,53,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
234,8085,54,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
235,7596,55,claude45,original,42,6,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
236,948,56,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
237,7702,57,claude45,original,42,7,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
238,2722,58,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
239,10499,59,claude45,original,42,5,claude45_original_seed42_test_snapshots__local_json-nopound_pred.jsonlines
240,5349,0,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
241,6921,1,claude45,original,44,7,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
242,7065,2,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
243,1201,3,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
244,9914,4,claude45,original,44,3,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
245,11678,5,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
246,345,6,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
247,721,7,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
248,7195,8,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
249,2400,9,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
250,3761,10,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
251,5540,11,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
252,3295,12,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
253,1214,13,claude45,original,44,6,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
254,723,14,claude45,original,44,7,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
255,5062,15,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
256,6878,16,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
257,6729,17,claude45,original,44,9,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
258,8061,18,claude45,original,44,8,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
259,11719,19,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
260,12358,20,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
261,12423,21,claude45,original,44,6,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
262,5047,22,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
263,13683,23,claude45,original,44,6,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
264,5201,24,claude45,original,44,9,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
265,3891,25,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
266,8551,26,claude45,original,44,7,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
267,2926,27,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
268,3230,28,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
269,733,29,claude45,original,44,6,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
270,4173,30,claude45,original,44,8,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
271,10408,31,claude45,original,44,6,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
272,8154,32,claude45,original,44,5,claude45_original_seed44_test_snapshots__local_json-nopound_pred.jsonlines
